id,twitid,date,text,sberbank,vtb,gazprom,alfabank,bankmoskvy,raiffeisen,uralsib,rshb
1,615732011572050000,1435636925,#Автокредит в россельхозбанк в череповце,,,,,,,,0
2,615732055876480000,1435636936,RT @thomasabiloxuz: http://t.co/GTfMwSQQ2c #Кредитный калькулятор россельхозбанк 2012,,,,,,,,0
3,615732615576970000,1435637069,#Автокредит в россельхозбанк 2012 http://t.co/9jc1OCzyv2,,,,,,,,0
4,615737106367930000,1435638140,RT @ronaldisogacoq: #Кредитные карты россельхозбанк http://t.co/BZTF5Cuk4W,,,,,,,,0
5,615737591619540000,1435638256,RT @anthonyogihulaf: #Кредиты в россельхозбанке ижевск http://t.co/GdqH1k0GlC,,,,,,,,0
6,615738829920700000,1435638551,#Аккредитация страховых компаний в россельхозбанке,,,,,,,,0
7,615739926454340000,1435638813,RT @74Emtsov: #Россельхозбанк саранск кредитные программа гараж http://t.co/HNENQPRAJ9,,,,,,,,0
8,615741106710560000,1435639094,#Автокредит г барнаул россельхозбанк http://t.co/Bo5GAYm9ZO,,,,,,,,0
9,615741674413800000,1435639229,http://t.co/AFunnXczvo #Автокредит калькулятор россельхозбанк,,,,,,,,0
10,615742600000200000,1435639450,http://t.co/dVvbEAStbh #Автокредит в нальчике россельхозбанк,,,,,,,,0
11,615745124660810000,1435640052,http://t.co/LIU3bsyZPV #Россельхозбанк автокредит процентная ставка,,,,,,,,0
12,615745347298680000,1435640105,RT @brianoferuros: #Кредиты физическим лицам в россельхозбанке http://t.co/nuwTweFE4d,,,,,,,,0
13,615749668333560000,1435641135,RT @ronaldewobadep: http://t.co/Icgqfhsb00 #Кредитный рейтинг россельхозбанк,,,,,,,,0
14,615749720888210000,1435641148,RT @josephopuviyaq: #Аккредитация оценщиков россельхозбанк http://t.co/sbMDqQ2E3g,,,,,,,,0
15,615749713262970000,1435641146,RT @kevinikegurew: #Россельхозбанк кредиты в челябинске http://t.co/LwbAusAF64,,,,,,,,0
16,615752757241230000,1435641872,#Россельхозбанк всё о кредите http://t.co/7gJizx8O9X,,,,,,,,0
17,615754227470600000,1435642222,#Льготный автокредит россельхозбанк http://t.co/BEcbj9Tsm2,,,,,,,,0
18,615755212481910000,1435642457,RT @edwardenovanic: http://t.co/vtJpv1cUAk #Льготный автокредит от россельхозбанка,,,,,,,,0
19,615756001552120000,1435642645,#Кто брал автокредит в россельхозбанке в 20 лет http://t.co/mTdlmrrkne,,,,,,,,0
20,615757058143420000,1435642897,RT @stevenekuyuxun: http://t.co/MI7T0A05IL #Пролонгация кредитов в россельхозбанках,,,,,,,,0
21,615757462696690000,1435642993,RT @paulukavaxex: #Ставки на кредит в россельхозбанке http://t.co/59SHiKC4cn,,,,,,,,0
22,615757689923070000,1435643048,RT @danielolucicof: http://t.co/jkp3tQUOfP #Кредитный отдел россельхозбанка воро,,,,,,,,0
23,615760578422840000,1435643736,RT @kennethefuxugev: #Россельхозбанк кредитование малого бизнеса с нуля в куртамыше,,,,,,,,0
24,615761503765970000,1435643957,RT @ronaldiyokomum: #Автокредит + в россельхозбанке http://t.co/tLeInqJ0XI,,,,,,,,0
25,615761780761980000,1435644023,RT @anthonyitapatag: #Россельхозбанк кредиты индивидуальным предпринимателям,,,,,,,,0
26,615763821324470000,1435644509,RT @thomasobixokez: #Кредиты россельхозбанка в ульяновской области,,,,,,,,0
27,615764528744150000,1435644678,#Ставки + по кредитам россельхозбанк http://t.co/bDyvxxyGi0,,,,,,,,0
28,615766323621030000,1435645106,#Сегодняшний день спектр оказываемых услуг россельхозбанка широк автокредитование осуществляется нес,,,,,,,,1
29,615768088886150000,1435645527,RT @repnevazhozefi1: #Кредитование фермерского хозяйства в россельхозбанке http://t.co/s6FEK7tCXj,,,,,,,,0
30,615770799576760000,1435646173,RT @kennethogisenaj: #Приложение 15 инструкция по кредитованию 24-и оао россельхозбанк от 17 07 2007,,,,,,,,0
31,615770839217110000,1435646183,RT @paulunihebub: #Какой процент кредита + в россельхозбанке http://t.co/mhywR2Q0MR,,,,,,,,0
32,615776579197630000,1435647551,RT @michaelijecateq: http://t.co/jp6UziCLeZ #Россельхозбанк автокредит саяногорск,,,,,,,,0
33,615778156293660000,1435647927,#Автокредитование россельхозбанка в анжеро-судженске,,,,,,,,0
34,615778645492140000,1435648044,RT @georgeoviruxiw: #Кредитный калькулятор россельхозбанка на сельхозтехнику,,,,,,,,0
35,615780473697010000,1435648480,RT @donaldifocuyar: #Автокредитование россельхозбанка в анжеро-судженске,,,,,,,,0
36,615783696226890000,1435649248,"Россельхозбанк в Марий Эл выдал свыше 2,3 тысяч ипотечных кредитов http://t.co/8CKVsabTjT",,,,,,,,0
37,615786883549760000,1435650008,#Россельхозбанк калькулятор автокредита http://t.co/IgHsRebOh4,,,,,,,,0
38,615787648230100000,1435650190,#Автокредиты россельхозбанк 2012г http://t.co/XGaR2Ga31G,,,,,,,,0
39,615794746867360000,1435651883,RT @williamegakidox: #Калькулятор кредитов россельхозбанк http://t.co/SNGhfWVYt1,,,,,,,,0
40,615757282815550000,1435642951,RT @thomasafinopaj: #Онлайн заявка на кредитную карту в россельхозбанк,,,,,,,,0
41,615797279748850000,1435652487,#Автокредитование россельхозбанк http://t.co/0EPaCsyHGL,,,,,,,,0
42,615797276838010000,1435652486,RT @richardahoyihiy: #Россельхозбанк ухта кредитный калькулятор,,,,,,,,0
43,615801043033530000,1435653384,RT @richardirulojed: #Оформление кредита + в россельхозбанке http://t.co/zVVikq4Ttx,,,,,,,,0
44,615807049943740000,1435654816,RT @robertafevolay: http://t.co/KDbBg1VW3v #Кредитование лпх в россельхозбанке,,,,,,,,0
45,615809642531200000,1435655434,RT @markuyabixuw: #Аккредитация страховых компаний в россельхозбанке,,,,,,,,0
46,615810854311730000,1435655723,http://t.co/dgNEuBNGkv #Автокредиты россельхозбанке,,,,,,,,0
47,615811526797100000,1435655883,RT @robertoharabuc: http://t.co/LIU3bsyZPV #Россельхозбанк автокредит процентная ставка,,,,,,,,0
48,615815165762750000,1435656751,http://t.co/ID1vU7DPhd #Ипотека в дагестане россельхозбанк,,,,,,,,0
49,615817906333580000,1435657404,RT @B43eL6fac7jXFCv: #Кемерово автокредит россельхозбанк http://t.co/D2QsNJdnTG,,,,,,,,0
50,615818441665060000,1435657532,#Россельхозбанк льготное автокредитование http://t.co/BeCAmONyv4,,,,,,,,0
51,615822438119670000,1435658485,RT @edwardaricugam: http://t.co/DDgNUP8S7u #Автокредит + в россельхозбанке + с,,,,,,,,0
52,615833245050130000,1435661061,RT @brianaraluxuh: http://t.co/AhlO4ywIYq #Виды кредитов россельхозбанка,,,,,,,,0
53,615833733036440000,1435661178,#Прошу аккредитовать в оао россельхозбанк компанию,,,,,,,,0
54,615834270385480000,1435661306,RT @georgeibegicor: #Положение о порядке аккредитации оценщиков при оао россельхозбанк,,,,,,,,0
55,615839528650010000,1435662560,"RT @williamajonenap: #Поставщики, аккредитованные в россельхозбанке",,,,,,,,0
56,615840286607080000,1435662740,RT @GerberZina: #Особенности автокредита россельхозбанка псков http://t.co/JhqcbsZOVA,,,,,,,,0
57,615843002649590000,1435663388,#Ипотека для сотрудников россельхозбанк http://t.co/AgWSjI3aIs,,,,,,,,0
58,615843542649430000,1435663517,http://t.co/FuvDeqwVwm #Ипотека документы россельхозбанк,,,,,,,,0
59,615845532221710000,1435663991,RT @robertilenatos: http://t.co/kbKDB0KYJ3 #Ипотека от россельхозбанка курган условия,,,,,,,,0
60,615846027837470000,1435664109,#Ипотека россельхозбанк нальчик калькулятор http://t.co/J1MmawfpUA,,,,,,,,0
61,615846516914300000,1435664226,#Условия ипотека россельхозбанк мурманск http://t.co/Ouyuk7Zfux,,,,,,,,0
62,615846554923070000,1435664235,#Ипотека на квартиру в россельхозбанке http://t.co/MV9m5EhqRu,,,,,,,,0
63,615846601828010000,1435664246,#Оао россельхозбанк ипотека http://t.co/cOLVyVz8j6,,,,,,,,0
64,615849360077770000,1435664904,#Перекредитование + в россельхозбанке http://t.co/f0m9Hqcsm9,,,,,,,,0
65,615851359905190000,1435665380,http://t.co/tINvtEx5TC #Ипотека от россельхозбанка в калининграде,,,,,,,,0
66,615853570680820000,1435665907,#Ипотека в оренбурге россельхозбанк http://t.co/w1BZtIqZM5,,,,,,,,0
67,615853614800720000,1435665918,#Официальный сайт россельхозбанка ипотека http://t.co/WsLfhmj3bz,,,,,,,,0
68,615853883357800000,1435665982,#Сделать заявку на кредит в россельхозбанке,,,,,,,,0
69,615854336573370000,1435666090,http://t.co/O3l1FQq3he #Ипотека от россельхозбанка в уссурийске,,,,,,,,0
70,615854335432460000,1435666090,RT @paulohefiker: #Россельхозбанк автокредит б у автомобили http://t.co/yUDswXgGLa,,,,,,,,0
71,615857832341150000,1435666923,http://t.co/JE5m4xAlWj #Ипотека в петрозаводске россельхозбанк,,,,,,,,0
72,615858915268520000,1435667182,http://t.co/e0VgRszqR7 #Ипотека россельхозбанк условия,,,,,,,,0
73,615859373995360000,1435667291,http://t.co/FXIyDjdhNR #Ипотека через россельхозбанк в тыве,,,,,,,,0
74,615860857071920000,1435667645,RT @brianegufurok: http://t.co/L4HT8fYPOx #Автокредитование россельхозбанка,,,,,,,,0
75,615862620164360000,1435668065,ипотека калькулятор краснодар http://t.co/ib15M6Palm #Россельхозбанк,,,,,,,,0
76,615863483104650000,1435668271,http://t.co/rkIUt7Xo25 #Россельхозбанк ипотека отзывы,,,,,,,,0
77,615864426370090000,1435668496,RT @paulipirenit: #Ипотека на приобретение жилья в россельхозбанке,,,,,,,,0
78,615865715501960000,1435668803,#Как оформляется ипотека в россельхозбанке http://t.co/gAxQVb4WXW,,,,,,,,0
79,615866249663400000,1435668930,RT @thomasusucejew: #Приложния к инструкции по кредитованию населения в россельхозбанке,,,,,,,,0
