id,twitid,date,text,sberbank,vtb,gazprom,alfabank,bankmoskvy,raiffeisen,uralsib,rshb
1,492367586156630000,1406224554,http://t.co/YEVHuvVGA1 Взять кредит тюмень альфа банк,,,,0,,,,
2,492368160923070000,1406224691,Мнение о кредитной карте втб 24 http://t.co/SBJTcsqjCg,,0,,,,,,
3,492368608346260000,1406224798,«Райффайзенбанк»: Снижение ключевой ставки ЦБ на заседании в эту пятницу очень маловероятно,,,,,,0,,
4,492371181946030000,1406225412,Современное состояние кредитного поведения в россии сбербанк http://t.co/EXAX01uR0h,0,,,,,,,
5,492374836564750000,1406226283,@sawik_shuster @YevhenS Главное чтоб банки СБЕР и ВТБ!!!,1,1,,,,,,
6,492375537080600000,1406226450,http://t.co/Qr6JbSVTxY Оформить краткосрочный кредит оао банк москвы,,,,,0,,,
7,492375766907510000,1406226505,Самый выгодный автокредит в втб 24 http://t.co/CDJ5P40x7g,,1,,,,,,
9,492377674535680000,1406226960,Кредит иногородним в москве сбербанк http://t.co/AVlmacmlSf,0,,,,,,,
10,492377768232250000,1406226982,Кредитный калькулятор россельхозбанк чита http://t.co/EqtmPota1G,,,,,,,,0
11,492378757769220000,1406227218,http://t.co/h6r6GdBe4H Легко можно получить денежный кредит ы втб 24 банке,,1,,,,,,
12,492378758372800000,1406227218,"ДЕЛО -  На 1 млрд грн ушел в минус Райффайзен Банк Аваль и была докапитализирована украинская ""дочка"" ВТБ",,0,,,,-1,,
13,492379779946260000,1406227462,Део нексия в кредит в альфа банке http://t.co/4nBxtHbczE,,,,0,,,,
14,492379780881590000,1406227462,Россельхозбанк кредит стань фермером http://t.co/a7LU5KQT15,,,,,,,,0
15,492380298458710000,1406227585,http://t.co/CuNsxVhAb0 Банк втб взять кредит 40000,,0,,,,,,
16,492384109483000000,1406228494,@ShtirliZ_ @Zhukova_olga @winzard @tereshenkov обязательно про сбербанк напишите! Временами похлеще интернет магазинов финты выкручивает),-1,,,,,,,
17,492384237199580000,1406228524,Расчитать кредит сбер банк россии в москве http://t.co/oHrZJ3uFEe,0,,,,,,,
18,492384237631570000,1406228524,Кредит в газпром банке тула http://t.co/jqt7NfDbma,,,0,,,,,
19,492384320926260000,1406228544,Кредитный калькулятор сбербанк россии http://t.co/MGS8yMyXJA,0,,,,,,,
20,492385371649740000,1406228795,@Umka_75 @Alfarius2012 @igor_sechin втб и сбер точно. вопрос-блокировка операций или запрет на кредиты?,-1,-1,,,,,,
21,492385727242850000,1406228880,http://t.co/Snn5WoPVcf Взять кредит строительство магазина россельхозбанк,,,,,,,,0
22,492401325649690000,1406232599,Льготный период по кредитной карте втб 24 http://t.co/5O4yDMadhK,,0,,,,,,
23,492506491879190000,1406257672,http://t.co/SqAiEPURl0 Казань банк втб 24 хочу взять кредит мне 20 лет,,0,,,,,,
24,492506495830200000,1406257673,http://t.co/YtapffQchW Как взять кредит на развитие хозяйства россельхозбанк,,,,,,,,0
25,492508060754390000,1406258046,Оао банк втб северо запад в спб автокредит http://t.co/G0Y5Y292P0,,0,,,,,,
26,492508625018310000,1406258181,http://t.co/6sKsurs9OH Оформить заявку на кредит в банк уралсиб,,,,,,,0,
27,492508970482160000,1406258263,http://t.co/v4cogwQQ1g Взять кредит в газпромбанке какие условия,,,0,,,,,
28,492509863486840000,1406258476,"Канада ввела санкции против Газпромбанка, ВЭБа, Новатэка и российских оборонных компаний",,,-1,,,,,
29,492509998220870000,1406258508,http://t.co/UYLSGYH8P6 Как взять денежный кредит в альфа банке,,,,0,,,,
30,492510171139410000,1406258549,Заявление на потребительский кредит в райффайзенбанк http://t.co/spzDtvyRCH,,,,,,0,,
31,492510508420180000,1406258630,http://t.co/c2r5fpTO6H Сбербанк кредит как получить,0,,,,,,,
32,492511039679110000,1406258756,Западно уральский сбербанк россии акция ипотечный кредит http://t.co/jEsbw6MGO2,0,,,,,,,
33,492511649405090000,1406258902,Банк втб 24 казань потребительский кредит http://t.co/lqXXCyMx2F,,0,,,,,,
34,492511780682600000,1406258933,http://t.co/qfYkNOXrQT Взять кредит сбербанк россии казань,0,,,,,,,
35,492512612094350000,1406259131,http://t.co/LNqdQ8s8pa Как оформить кредитную карту уралсиб банка в рб,,,,,,,0,
36,492512958367680000,1406259214,http://t.co/TxgTGAgqBL Взять кредит сбербанк онлайн,0,,,,,,,
37,492513087950710000,1406259245,Целевой кредит в россельхозбанке с поручителем http://t.co/mY8Ja0RYni,,,,,,,,0
38,492513172381630000,1406259265,170 лет сбербанк акции автокредит екатеринбург http://t.co/BfkRy9kBry,0,,,,,,,
39,492514770092700000,1406259646,руководство по программе сбербанк бизнес http://t.co/eW9lQ1bKx1 #бизнес #руководство,0,,,,,,,
40,492517044559310000,1406260188,Банк москвы даёт кредиты http://t.co/tf2WOLOYRk,,,,,0,,,
41,492517439486570000,1406260282,http://t.co/CbMNABPOqp Альфа банк взять кредит наличными,,,,0,,,,
42,492517565970020000,1406260312,Снижение процентной ставки по кредиту на недвижимость сбербанк http://t.co/MredO898wK,1,,,,,,,
43,492518219383860000,1406260468,Кредиты в россельхозбанке без посредников http://t.co/t5zdJbvd98,,,,,,,,0
44,492518654928780000,1406260572,"RT @letokot: Если Сбер и ВТБ попали под санкции, будет жопа",-1,-1,,,,,,
45,492519222233530000,1406260707,http://t.co/JB7JqZMGkL Втб 24 зао взять кредит н новгороде кредиты,,0,,,,,,
46,492519818218960000,1406260849,Райффайзенбанк уфа кредит на снегоход полярис http://t.co/wIQo8tABTY,,,,,,0,,
47,492520511831040000,1406261015,http://t.co/14dY9LVVeV Взять кредит на технику в альфа банке,,,,0,,,,
48,492521065252650000,1406261147,"В наш сбербанк пришел американец и попросил сфоткаться с ним у банкомата ;D
я ваще была в шоке и на фотке полюбому получилась смешная xD",1,,,,,,,
49,492522625911250000,1406261519,http://t.co/XifphFemGQ Втб 24 банк взять кредит без справки о доходах,,0,,,,,,
50,492523751243010000,1406261787,Отсрочка платежа по кредиту россельхозбанк http://t.co/5EAnvWO5uN,,,,,,,,0
51,492525602042560000,1406262228,Заявление анкета на ипотечный кредит втб 24 http://t.co/6ADWm91x7i,,0,,,,,,
52,492526248812640000,1406262383,"RT @360_tv_ru: #Канада ввела санкции против 10 оборонных и сырьевых компаний и банков #РФ. Среди них, в частности, ""#Газпромбанк"", ""#Внешэк…",,,-1,,,,,
53,492527972617040000,1406262794,"За первое полугодие 2014 года Сбербанк России выдал ипотечных кредитов на сумму более 402 млрд. рублей, что на 70% больше аналогичного пока",1,,,,,,,
54,492529739253700000,1406263215,Условия частично досрочного погашения кредита в райффайзенбанке http://t.co/EzFc16VMis,,,,,,0,,
55,492531814532400000,1406263710,Расчет кредита наличными сбербанк http://t.co/i4lscIs9Q8,0,,,,,,,
56,492531860439070000,1406263720,Сравнить кредитные ставки в сбербанке газпромбанке ираффайзенбанке http://t.co/DJJAAjtgC1,0,,0,,,,,
57,492532786776260000,1406263941,Бпс сбербанк депозиты кредиты http://t.co/ahmUA7Tb52,0,,,,,,,
58,492532788852420000,1406263942,Пенза сбербанк жилищный кредит http://t.co/NMFI9Aph9M,0,,,,,,,
59,492533405838360000,1406264089,Пресс-релиз банка: Сбербанк и «Трест Уралавтострой» заключили соглашение о сотрудничестве,1,,,,,,,
60,492534278916690000,1406264297,Документы для потребительского кредита в райффайзенбанке http://t.co/a4k2lYdySk,,,,,,0,,
61,492536292576870000,1406264777,Высчитывать проценты по кредиту сбербанк http://t.co/w9gsypw5S7,0,,,,,,,
62,492538220589380000,1406265237,Кредиты юридическим лицам банк втб 24 http://t.co/WmanyuVuBd,,0,,,,,,
63,492538220660670000,1406265237,Россельхозбанк кредит на развитие тепличного хозяйства http://t.co/q5b1M1iiMK,,,,,,,,0
64,492540184438000000,1406265705,"@Irinka_Koluchka @banki_ru И одной из контор-мошенников составляет банк Сбербанк России под крыш ой правительства.
 http://t.co/aZQDCddf4A",-1,,,,,,,
65,492540834605440000,1406265860,Обслуживание кредитной карты альфа банка http://t.co/NTvNADbEPY,,,,0,,,,
66,492542198387580000,1406266185,"@Pkawka91 @banki_ru Он не под крышой... походу, он сам крыша... Сбербанк используют, вопрос почему и кто позволяет.. http://t.co/PMSCp8mcQz",-1,,,,,,,
