id,twitid,date,text,sberbank,vtb,gazprom,alfabank,bankmoskvy,raiffeisen,uralsib,rshb
6712,420664174319267840,1389129129,Поврежденные рубли можно поменять в Сбербанке на Сахалине,0,,,,,,,
6713,420801885151318016,1389161962,как узнать свой номер счета в сбербанке http://t.co/1iCdayZ5Fz,0,,,,,,,
6714,420802073664708608,1389162007,Как взять кредит на малый бизнес сбербанк http://t.co/5sfByxEEfk,0,,,,,,,
6715,420805727100207104,1389162878,характеристика сбербанка http://t.co/GmGAF3cHjQ,0,,,,,,,
6716,420807150198218752,1389163217,делают ли распечатку операций карт сбербанка http://t.co/LPLzaK69cZ,0,,,,,,,
6717,420821172301742081,1389166560,с телефона на карту сбербанка http://t.co/8oEOmcGAOr,0,,,,,,,
6718,420832886904721409,1389169353,"- Из Сбербанка на Урале исчезли 12 миллионов рублей и кассир... - Да бог с ними с деньгами то, человек пропал!...",-1,,,,,,,
6719,420841415967789056,1389171387,Алексей Наумов - новый руководитель отделения Марий Эл ОАО «Сбербанк России» http://t.co/56F85wJEtd,0,,,,,,,
6720,420841415724515328,1389171387,"Интересно, в каком акте появится Сбербанк..",0,,,,,,,
6721,420920449288372224,1389190230,"RT @sberbank: Узнайте, как взять привлекательный автокредит в рамках программы льготного автокредитования http://t.co/ZeQIvyAG83",0,,,,,,,
6722,420930292031840256,1389192576,"Шёл 2014 год, Сбербанк Онлайн до сих пор не научился делать банковский перевод на счёт ТКС. Ошибка так и осталась: счёт блокирован.",-1,,,,,,,
6723,421129107540574208,1389239978,"Объемы жилищного кредитования в Байкальском банке Сбербанка увеличились на треть #новости,#Бурятия http://t.co/Bapw6TKFo3",1,,,,,,,
6724,421148275006529536,1389244547,"@sberbank не хочу очередей, хочу талон!",-1,,,,,,,
6725,421148808886509568,1389244675,Начинаю судебную тяжбу со #Сбербанк. Краткое содержание предыдущих серий https://t.co/ZOlhleOQUi,-1,,,,,,,
6726,421148945624997889,1389244707,Подключил онлайн-банкинг от Сбербанка. Ожидал большего...,-1,,,,,,,
6727,421156280607444992,1389246456,сбербанк кредит доверительный процентная ставка http://t.co/xbG03S1JNY,0,,,,,,,
6728,421157054628495360,1389246641,@Mrs_BryanPeach не. Ездил в Сбер за баблом. Инвестмонеты назад поменять так не берут. Типа нет приказа! #сбербанк #пенза #кидалово,-1,,,,,,,
6729,421157449669021696,1389246735,Сбербанк-идиотский банк с ужасным обслуживанием!,-1,,,,,,,
6730,421161803322646528,1389247773,"Северо-Западный банк Сбербанка откроет Ленинградской области кредитные линии на сумму 2,6 млрд ... http://t.co/Z3Y88oARs6",0,,,,,,,
6731,421168443266584576,1389249356,RT @lafashionfelo: Как сделать Новый Год незабываемым — советы от Сбербанка,0,,,,,,,
6732,421169252062986240,1389249549,"Деньги закончились, думала откуда можно найти еще денег, проверила карту сбербанк якт, а там 5000 поступило",0,,,,,,,
6733,421171362720276481,1389250052,@LoArty Come on! Все нормально с онлайн-банкингом от Сбербанка.,1,,,,,,,
6734,421172173336616961,1389250245,"Курс юаня по текущему курсу Сбербанка РФ, в честь весеннего обострения и настоящего апрельского солнышка",0,,,,,,,
6735,421193371018100736,1389255299,"@OMON_Moscow @sberbank такая же проблема,видать все у них очень плохо;(",-1,,,,,,,
6736,421197588977557504,1389256305,Сбербанк  http://t.co/FU8H9KWxlb,0,,,,,,,
6737,421199679104507904,1389256803,депозитные операции сбербанка россии http://t.co/NmM6wXwp7t,0,,,,,,,
6738,421206550695645184,1389258441,У тути банкомат сбербанка сожрал сорокет раблов и сказал тех.сбой. прикольно.,-1,,,,,,,
6739,421221522188300288,1389262011,RT @VLipanov: Финансовая отчетность report-sberbank.ru http://t.co/tWZ69FPHld,0,,,,,,,
6740,421240847330713600,1389266618,новые условия выдачи кредита сбербанком http://t.co/iHOQQiWpM7,0,,,,,,,
6741,421247910848647168,1389268303,"@sberbank да, стоит упомянуть, что на моей, внимание!, дебетовой карте, теперь МИНУС 1.14р! Это как такое возможно?",-1,,,,,,,
6742,421252653406904321,1389269433,мне теперь нельзя идти работать в сбербанк,0,,,,,,,
6743,421256361217757184,1389270317,"Top story: «Сбербанк России»  - Новости по услуге «Мобильный банк» :: Пополнить… http://t.co/G09SjzmNB9, see more http://t.co/cSJtR33BDj",0,,,,,,,
6744,421259725913608192,1389271119,"Сбербанк в перспективе намерен выйти из проекта ""Красная поляна""",0,,,,,,,
6745,421265390421831681,1389272470,как проверить не заблокирован ли счёт сбербанка http://t.co/om51zyI1Lu,0,,,,,,,
6746,421273657844174848,1389274441,RT @artemycheros: @privatbankua почему вы не сделаете систему очередей как у сбербанк России. система у вас очень рахитная. сделать любую о…,1,,,,,,,
6747,421274867640438784,1389274730,"в течение работы участвовал в крупном проекте «слет инноваторов 2012», проводимым для зао «сбербанк россии»",0,,,,,,,
6748,421275611983015936,1389274907,Сбербанк становится быдлятским,-1,,,,,,,
6749,421277721897869312,1389275410,@MrRenik @sberbank я одобрение на проведение этой операции не давал. пусть дадут разъяснение за такие действия,-1,,,,,,,
6750,421278722675990529,1389275649,Нормально @sberbank зарабатывает - размен 5% от суммы.,-1,,,,,,,
6751,421280919698161664,1389276172,(первый заместитель председателя правления сбербанка россии) и сысуев о,0,,,,,,,
6752,421282918628352000,1389276649,"МЭР рекомендует ""Сбербанк КИБ"" для продажи госпакета ""Ростелекома"" http://t.co/7xOCqv46TY",0,,,,,,,
6753,421284920502538240,1389277126,"МЭР рекомендует ""Сбербанк КИБ"" для организации продажи госпакета ""Ростелекома"" #бизнес http://t.co/jKY4Sjw1E5",0,,,,,,,
6754,421285330575441920,1389277224,И снова я здесь))) (@ Сбербанк) http://t.co/K2AJ5mWLc3,0,,,,,,,
6755,421285582493728768,1389277284,"МЭР рекомендует ""Сбербанк КИБ"" для продажи госпакета ""Ростелекома"" http://t.co/sBZLNA4Vwj #экономика #RT #follow #followback #ru_ff",0,,,,,,,
