id,twitid,date,text,beeline,mts,megafon,tele2,rostelecom,komstar,skylink
1,615732055842910000,1435636936,RT vzglyad: По делу о работе МТС в Узбекистане США предложили заморозить 300 млн,,-1,,,,,
2,615732353806300000,1435637007,RT @kevinuyatukox: http://t.co/ljtrjq91v3 #Кредитные карты мегафон банка,,,0,,,,
3,615733311873380000,1435637235,#Оформить кредитную карту в банке мтс http://t.co/vv1B6PMWgH,,0,,,,,
4,615734361116270000,1435637486,#Как перевести деньги с билайна на кредитную карту,0,,,,,,
5,615735339219610000,1435637719,#Начальник отдела кредитного контроля оао мтс усачева н а,,0,,,,,
6,615735475958120000,1435637751,"RT @AtForex: В США суд может арестовать $300 млн из-за коррупции ""Вымпелком"" и МТС на рынке связи Узбекистана http://t.co/m2VLNngTp6",-1,-1,,,,,
7,615735662084400000,1435637796,На МТС завели дело за обман абонентов в Крыму http://t.co/0DpSupeFDU,,-1,,,,,
8,615736277275670000,1435637942,"ФАС возбудила дело на МТС за ложь в рекламе
http://t.co/RIbELhZLHZ
 #Crimea
 #News
 #НовостиКрыма",,-1,,,,,
9,615737105994480000,1435638140,"В течение недели периодически звонили из билайна и спрашивали, как там дела с перенесенным номером. Сегодня позвонили из скайлинка и сказал",0,,,,,,0
10,615737948131170000,1435638341,В США суд может арестовать $300 млн из-за коррупции «Вымпелком» и МТС на рынке связи Узбекистана http://t.co/bwCp0pDyef с помощью @gazetaru,-1,-1,,,,,
11,615738075189250000,1435638371,RT @kennethenozacuk: http://t.co/ds5kOamzx6 #Мтс банк кредитная карта проценты,,0,,,,,
12,615739179125840000,1435638634,RT @vishtorskayaa: Отказано в доступе при установки драйвера модема мегафон #установки #модема,,,-1,,,,
14,615739491769280000,1435638709,RT @Serg_58: Tele2 хочет продавать смартфоны под своим брендом  #internet,,,,0,,,
15,615739575890280000,1435638729,#Архангельск оформить кредитную карту мтс http://t.co/O7Qn0IOrMW,,0,,,,,
16,615740455322550000,1435638939,Tele2 запустила сети скоростного мобильного Интернета в 26...,,,,1,,,
17,615740716560550000,1435639001,"@adagamov @megafonru вы как Сбербанк 2.0, когда центральный офис не знает что делает подчиненный, надо куда то ходить, звонить.",,,-1,,,,
18,615740932382720000,1435639052,"«Ростелеком» дарит абонентам «Лето навсегда»

Для участников акции «Лето навсегда» льготные та http://t.co/J1xYMiwcg1 http://t.co/s0ESH9JQke",,,,,1,,
19,615741940076790000,1435639293,МТС празднует 13 лет на рынке связи Беларуси,,1,,,,,
20,615742116766060000,1435639335,В «Теле 2» разъяснили причины сбоя связи http://t.co/C0RnKOZiWS,,,,-1,,,
21,615742644652800000,1435639461,http://t.co/N93eind6V5 #Мтс оформить кредитную карту,,0,,,,,
22,615743084597500000,1435639565,RT @SvetaZyuzikova: кредитная карта билайн http://t.co/g2VuiG8hDn #Виртуальная,0,,,,,,
23,615743394694820000,1435639639,Белорусский МТС отметил 13-летие,,1,,,,,
24,615744407099310000,1435639881,RT @johnubilacak: #Кредитная карта онлайн заявка от мтс http://t.co/fa77HGum3S,,0,,,,,
25,615745164246650000,1435640061,"В США суд может арестовать $300 млн из-за коррупции ""Вымпелком"" и МТС на рынке связи Узбекистана: В суд Нью-Йорка поступил иск от…",-1,-1,,,,,
26,615745879966940000,1435640232,RT @robertenopamem: http://t.co/txlNNQo7RJ #Кредитная карта.мтс,,0,,,,,
27,615746141678870000,1435640294,http://t.co/X0YpP1i04w #Оформить кредитную карту мтс онлайн,,0,,,,,
28,615746671163650000,1435640421,http://t.co/u8Iq0Zq5tf ФАС возбудила дело на МТС за ложь в рекламе,,-1,,,,,
29,615746890932620000,1435640473,RT @johnuboyuhep: http://t.co/6dyyIMzcnh #Оформить кредитную карту мтс деньги,,0,,,,,
30,615747471944380000,1435640612,RT @McgeeElliot1: для модем мтс http://t.co/wqri6uHVO5 #модем драйвер,,0,,,,,
31,615747520883520000,1435640623,RT @vzglyad: По делу о работе МТС в Узбекистане США предложили заморозить 300 млн долларов http://t.co/oB9X6KKEOP,,-1,,,,,
33,615748105498050000,1435640763,В Луганск вернется МТС http://t.co/dUAkZcFjRW,,1,,,,,
34,615748641786100000,1435640890,#Как получить кредитную карту мтс в салонах связи в саратове,,0,,,,,
35,615749142225250000,1435641010,RT @brianayunuyeh: http://t.co/2MHXuYBuhF #Оплатить мегафон по кредитной карте,,,0,,,,
36,615749233828830000,1435641032,"RT @Renato74145A: Сибирского филиала Ростелекома в МВЦ ""Крокус Экспо"" (Москва). Вход свободный. Компания МегаФон составила",,,0,,0,,
37,615749393384380000,1435641070,"присутствия компании, а также целый пакет Базовый и акцию в июне МегаФон планирует повысить эффективность",,,1,,,,
38,615750885562450000,1435641425,http://t.co/30Z01TTsyB #Увеличение кредитного лимита в мтс банке,,0,,,,,
39,615751790835830000,1435641641,"Подключен к ""Ростелеком"" - подпишись  http://t.co/rFjGr7HI5o  http://t.co/Dt7bdpajL1",,,,,0,,
40,615752331561270000,1435641770,диск для автоматической настройки интернета ростелеком скачать http://t.co/N8DaKcpsPv Установочный,,,,,0,,
41,615752843320890000,1435641892,"Если у вас недоеб мозга, обратитесь в Ростелеком. Нечеловеческая логика во всем - начиная с сайта заканчивая договором.",,,,,-1,,
42,615752981233860000,1435641925,http://t.co/QKSy7aoQv2 ФАС возбудила дело на МТС за ложь в рекламе,,-1,,,,,
43,615753052465730000,1435641942,RT @icrimea: На МТС завели дело за обман абонентов в Крыму http://t.co/0DpSupeFDU,,-1,,,,,
44,615753111559230000,1435641956,реструктуризация кредита в мтс банке: реструктуризация кредита в мтс банке http://t.co/Zx6coXqkvS,,0,,,,,
45,615753109776660000,1435641956,реструктуризация кредита в мтс банке: реструктуризация кредита в мтс банке http://t.co/IjTnXNfy0a,,0,,,,,
46,615753107947930000,1435641955,реструктуризация кредита в мтс банке: реструктуризация кредита в мтс банке http://t.co/WoyyW4V1Ru,,0,,,,,
47,615753106316380000,1435641955,реструктуризация кредита в мтс банке: реструктуризация кредита в мтс банке http://t.co/gyCHmqEo3l,,0,,,,,
48,615753285555730000,1435641998,http://t.co/DyMAFpPazQ #Как восстановить кредитную карту мтс банк,,0,,,,,
49,615753376924430000,1435642019,"RT @Lemuel3034: страны, защищенные частные капиталовложения, инвестиционный капитал компании в салонах-магазинах МТС,",,0,,,,,
50,615753555245270000,1435642062,"ФАС возбудила дело по признакам нарушения ОАО «МТС» законодательства о рекламе
http://t.co/2KO4FezPIl",,-1,,,,,
51,615754229051850000,1435642223,Где достать тачпад для планшета мегафон мт3а #планшета http://t.co/f4aGKuUIzm,,,0,,,,
52,615754227739070000,1435642222,В «Теле 2» разъяснили причины сбоя связи,,,,-1,,,
53,615754721991660000,1435642340,#Пополнитиь счет мтс через кредитную карту http://t.co/PTpgOxm3AH,,0,,,,,
54,615754766358950000,1435642351,RT @jasonafutexef: #Пополнить теле2 кредитной картой http://t.co/1QCPNlPJXN,,,,0,,,
55,615754804820720000,1435642360,RT @O_Sergun4ik: Новое лицо МТС... http://t.co/I6eHgBrSNw,,0,,,,,
56,615754901251950000,1435642383,RT @paulahedamoy: #Как на мтс подключить кредитный лимит http://t.co/nNnQ4OMQdR,,0,,,,,
57,615754942653970000,1435642393,RT @markitetutul: http://t.co/H59rsAecXZ #Мтс кредитная карта г кызыле,,0,,,,,
58,615754987268780000,1435642403,RT @MsShaustova: узнать задолженность по кредиту в мтс банке http://t.co/aSDuQY15ii #Как,,0,,,,,
59,615756481242120000,1435642759,"@mts_news Что с Личным кабинетом? ""Сервис личного кабинета МТС временно недоступен. Ошибка 500""
Когда заработает?",,-1,,,,,
60,615758081620750000,1435643141,"@msisamota, здравствуйте. Контролировать подключенные опции и свои расходы вы можете в личном кабинете https://t.co/NCSzeNvMLH ^РЧ #МТС",,0,,,,,
61,615758792752430000,1435643311,"Главные новости экономики на 29.06.2015:  В США суд может арестовать $300 млн из-за коррупции ""Вымпелком"" и МТ... http://t.co/CncI0P9nOL",-1,,,,,,
62,615759009845380000,1435643362,http://t.co/yFBQc9KZSs #Подключить кредитную линию мтс деньги,,0,,,,,
63,615759006573790000,1435643362,"Триколор тв, НТВ плюс, МТС тв (495) 517-41-71 Район Мещанский: http://t.co/V4svD0XNxO",,0,,,,,
64,615759500272760000,1435643479,RT @edwarduhiqebus: http://t.co/sWv8bAuuJE #Мегафон кредиты,,,0,,,,
65,615759684343960000,1435643523,"ФАС возбудила дело на МТС за ложь в рекламе
http://t.co/4zwdw7W2jw
 #NewsCrimea #News
 #Crimea",,-1,,,,,
66,615759682116780000,1435643523,RT @ronaldideviray: #Мтс оплатить картой кредитной http://t.co/uAsTyrMOjV,,0,,,,,
67,615759955061180000,1435643588,RT @stevenatayigej: #Мегафон оплатить с кредитной карточки http://t.co/Rl5JxAMIbT,,,0,,,,
68,615760482276760000,1435643713,RT @johnejoromiy: #Банк мтс онлайн заявкана кредитную карту,,0,,,,,
69,615760751056150000,1435643777,http://t.co/HSuLGMrKdz #Как оплатить баланс мтс кредитно картой,,0,,,,,
70,615760845000170000,1435643800,"#финансы В США суд может арестовать $300 млн из-за коррупции ""Вымпелкома"" и МТС на рынке связи Узбекистана #экономика #it #деньги",-1,-1,,,,,
71,615761058658020000,1435643851,RT @kennethoyizogeg: #Система кредитование мтс http://t.co/6PzubFEhPN,,0,,,,,
72,615762390940950000,1435644168,"RT @24crimea: На МТС завели дело за обман абонентов в Крыму

Федеральная антимонопольная служба (ФАС) России http://t.co/tyJPx6TnlD http://…",,-1,,,,,
73,615762979255030000,1435644309,#Оформить карту кредитную билайн http://t.co/fRTQynScZ9,0,,,,,,
74,615764755945400000,1435644732,RT @richardanelobaq: http://t.co/eDcMe8pCkY #Мтс заявка на кредитную карту,,0,,,,,
75,615765066248430000,1435644806,"RT @Bite18155048: Началось, ребята !!! ))) - США заблокируют $300 млн на счетах МТС и ""Вымпелкома"" из-за коррупционных расследований",-1,-1,,,,,
76,615765114071880000,1435644818,"Дмитрий Горожанинов, Tele2: «Наш приход в Красноярск обострит конкуренцию на рынке» http://t.co/T5xkpsmRRi #dkvartal #новости #krsk",,,,1,,,
79,615766092565230000,1435645051,RT @M9Myasnova2015: кредитного контроля оао мтс http://t.co/J9N3tDnN48 #Отдел,,0,,,,,
80,615766188593810000,1435645074,"RT @asbesedin: пока я еще не ввязался в тяжбу с участием МТС и Роспотребнадзора, может, кто-нибудь в Краснодаре купит у меня черный Jawbone…",,-1,,,,,
82,615767959839970000,1435645496,RT @CumminsOates: к телефону мтс252 http://t.co/AxMfCcYfeF #телефону драйвер,,0,,,,,
83,615769178125890000,1435645787,"@V_Okorokov Вадим, здравствуйте! Какой у Вас интернет: проводной или мобильный? #билайн",0,,,,,,
199,615831292198920000,1435660596,RT @ITCUA: Минюст США хочет заблокировать счета «МТС» и «ВымпелКома» http://t.co/Y7XpaFFI1k,-1,-1,,,,,
84,615769985609140000,1435645979,"RT @rosbaltru: США заблокируют $300 млн на счетах МТС и ""Вымпелкома"" из-за коррупционных расследований  http://t.co/l6XI6zthCi",-1,-1,,,,,
85,615770842354480000,1435646183,драйвера модем http://t.co/aw0GYpUFg3 #модем мтс,,0,,,,,
87,615772861244930000,1435646665,RT @jeffaliteval: #Мтс кредитная карта онлайн http://t.co/xG9vLDoD5i,,0,,,,,
88,615772860615780000,1435646665,RT @SStrigunova: #Мтс кредитная карта онлайн заявка http://t.co/27xiDZC7h4,,0,,,,,
89,615773268537030000,1435646762,"RT @the_outreach: я: Верните мне жалкие 300р, заплаченные за так и не заработавший интернет
@Beeline_RUS: а мы их списали, надо было блокир…",-1,,,,,,
90,615773847984320000,1435646900,RT @michaelezesafeq: #Мтс банк заявка на кредитную карту http://t.co/Swk0ZfQUXi,,0,,,,,
91,615774962557700000,1435647166,"RT @gromadchuk: Министерство юстиции США обратилось в суд города Нью-Йорка с просьбой заблокировать $300 млн российских компаний ""Вымпелком…",-1,,,,,,
92,615775158435890000,1435647212,США добиваются блокировки $300 млн в связи с расследованием действий МТС и Vimpelcom в Узбекистане http://t.co/frqPkptXAt,-1,-1,,,,,
93,615775372089560000,1435647263,RT @stevenawavofat: #Мтс баланс кредитная карта http://t.co/kQ908r92VX,,0,,,,,
94,615776664245510000,1435647571,RT @Vedomosti: США добиваются блокировки $300 млн в связи с расследованием действий МТС и Vimpelcom в Узбекистане http://t.co/frqPkptXAt,-1,-1,,,,,
95,615776760383210000,1435647594,"динамично развивающимся миром цифровых подстанций, систем поддержки МТС. В связи становится членом совета",,0,,,,,
96,615776808005300000,1435647606,Минюст США добивается блокировки $300 млн в связи с расследованием действий МТС и Vimpelcom в Узбекистане,-1,-1,,,,,
98,615777515735400000,1435647775,#moda отзывы о работе в мтс краснодарский край:  http://t.co/XFHlRrCaKh,,0,,,,,
99,615777564305460000,1435647786,#moda отзывы о работе в мтс краснодарский край:  http://t.co/Qe4RsU7qQt,,0,,,,,
100,615777609561980000,1435647797,#moda отзывы о работе в мтс краснодарский край:  http://t.co/eCUGXavSkI,,0,,,,,
101,615778021048390000,1435647895,"ОАО ""Ростелеком"" - Отсутствии телефонной связи: 22 июня 2015 года я подала заявку на проверку линии связи, т.к... http://t.co/LbnPbWp5sW",,,,,-1,,
102,615779181113160000,1435648172,RT @propletina89: кредитная карта хабаровск http://t.co/Q42FZJUJ1O #Мтс,,0,,,,,
103,615779274016950000,1435648194,"США хотят заблокировать 300 миллионов долларов по обвинению МТС и ""Вымпелкома"" в коррупции в Узбекистане",-1,-1,,,,,
104,615779582315120000,1435648267,http://t.co/TixJ6kfyVZ ФАС возбудила дело на МТС за ложь в рекламе,,-1,,,,,
105,615779716650300000,1435648299,"Где можно скачать справочник абонентов МТС, Билайн, Мегафон",0,0,0,,,,
106,615779941150430000,1435648353,"RT @the_outreach: Ха-ха-ха, @Beeline_RUS прислал сообщение, что возвращать украденное не намерен, ""списания корректны"". За неподключенный и…",-1,,,,,,
107,615780159484900000,1435648405,RT @jamesutadamuc: http://t.co/DyMAFpPazQ #Как восстановить кредитную карту мтс банк,,0,,,,,
108,615780521142920000,1435648491,"RT @kashulinsky: Могла ли МТС не платить Каримову, если платил Вымпелком и наоборот? https://t.co/EEW7qDtReq",0,0,,,,,
109,615781585900600000,1435648745,RT @richardevaqeneb: http://t.co/6qafchrC02 #Ограничения по кредиту мтс роуминг,,0,,,,,
111,615782707600080000,1435649012,RT @ronaldamacecef: http://t.co/2mZln6p16k #Оплата кредитов с билайн,0,,,,,,
112,615783115466740000,1435649110,США подозревают МТС и Vimpelcom в коррупции в Узбекистане,-1,-1,,,,,
113,615784640901590000,1435649473,"Сейчас ходила деньги на модемы класть, а там в билайне у консультанта такииииие глаза светлые были, что мне аж страшно было посмотреть в них",0,,,,,,
114,615786969134570000,1435650028,RT @kevinuzatepuv: #Тарифный план билайн кредитный http://t.co/ytBaNWHH5a,0,,,,,,
116,615788766427400000,1435650457,RT @BanderaCynic: Ахахахаха! #МТС влетел на $300 млн в #США. А ведь это всего лишь предварительные ласки))) http://t.co/CaIt3QZlIC http://t…,,-1,,,,,
117,615788983532910000,1435650509,http://t.co/Mp2TPQiRNz #Оплатить билайн с кредитки,0,,,,,,
118,615789435783750000,1435650616,США заблокируют $300 млн на счетах Vimpelcom и MTS по делу о коррупции в Узбекистане http://t.co/Rw6NFBqrSc,-1,-1,,,,,
119,615789747638630000,1435650691,Сайт билайна чет работает через одно место опять. Личный кабинет если быть точным,-1,,,,,,
120,615790725561580000,1435650924,#Приватбанк кредитка пополнить мтс http://t.co/uONJYMtdch,,0,,,,,
121,615792020666330000,1435651233,"Более того (про файрволл), например, военные закрыты следующим образом: первый уровень изоляции — подключена выделенная сеть ростелекома (в",,,,,0,,
