id,twitid,date,text,beeline,mts,megafon,tele2,rostelecom,komstar,skylink
1,492367588165680000,1406224555,"@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн",0,,,,,,
2,492369449912380000,1406224999,«Мегафон» стал владельцем 50% акций «Евросети»,,,0,,,,
3,492369715378290000,1406225062,"RT @fuckkiev: “@EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/RbSesXlOUZ” …",,-1,,,,,
4,492369842205650000,1406225092,ВИДЕО: http://t.co/PSMLAhR4fI Реклама со смехом МТС - Супер 0,,1,,,,,
5,492371322060950000,1406225445,"@parfenov1960 потому что МТС достало, а пчел ненавижу с детства, как и их мёд!",,-1,,,,,
7,492371599145070000,1406225511,RT @f_u_c_k_y_o_u_: Билайн интернет стал полным говном,-1,,,,,,
8,492372463314300000,1406225717,На Дне города в Тюмени «МегаФон» разыграет смартфон за лучшее селфи,,,0,,,,
9,492372556402660000,1406225739,"&amp;laquo;Ростелеком&amp;raquo; стал партнером всероссийского конкурса &amp;laquo;Поколение i&amp;raquo; на создание лучшего интернет-проекта для детей, о",,,,,0,,
10,492372843519550000,1406225808,RT @parfenov1960: Сотовый оператор Мегафон проводит конкурс с розыгрышем 50 iPhone 5s. Для участия нужно... http://t.co/8SZYFgjtMe,,,0,,,,
11,492373034649790000,1406225853,«МегаФон» поможет контролировать расходы на Интернет за границей,,,1,,,,
12,492373693491070000,1406226011,"@parfenov1960 Фуфло эт ваш Мегафон.просит много,дает мало.",,,-1,,,,
13,492373878036260000,1406226055,"@vinylanarchist Ну давай ты позвонишь как будешь в парке, а я подойду
или наоборот
у тя мтс ?",,0,,,,,
14,492374952361070000,1406226311,"За 7 месяцев Tele2 провела 90 городских мероприятий, в которых участвовали 85 тыс. человек",,,,0,,,
15,492375910902150000,1406226539,"@Beeline_RUS То есть новый номер только в офисе и из тех, что есть в офисе? Заранее никак?",0,,,,,,
16,492376000995810000,1406226561,"Вот если и хаять сеть, то МТС! Просто адский оператор какой-то!",,-1,,,,,
17,492376795195670000,1406226750,"RT @51evgen: @EvaKobb давайте откажемся от МТС,у меня 4 номера Я ГОТОВ!",,-1,,,,,
18,492377030475120000,1406226806,"«Ростелеком» традиционно выступил партнером XIV Международного праздника Огурца в Суздале. Мероприятие, участниками которого стали более 14",,,,,0,,
19,492377444981440000,1406226905,"УрБК, Екатеринбург, 22.07.2014. ОАО «МегаФон» стало предоставлять услуги сверхскоростной мобильной связи 4G+ еще в 14 населенных пунктах Св",,,1,,,,
20,492378534107970000,1406227165,«МегаФон» представил новую возможность сэкономить в роуминге,,,1,,,,
21,492380161422430000,1406227553,@imerkouri враньё! #Мегафон ГЭ! Проверено!,,,-1,,,,
22,492380485944120000,1406227630,"RT @parfenov1960: Подписаться на мой аккаунт, сделать ретвит данного сообщения и сказать, почему Вы выбираете Мегафон. Желаю удачи. http://…",,,0,,,,
23,492381921348170000,1406227972,@maxbeylis @korobkov другим бизнесменам помогали ! МТС при продаже ГИ Каримова должна било предлогат с начало Государство . Как стратегик,,0,,,,,
24,492382452493480000,1406228099,Билайн ставрополь справка http://t.co/9R3xJ6DqzV,0,,,,,,
25,492383882931870000,1406228440,"Что объединяет #МТС и #МГТС ? Нет,не то, что они в одной группе компаний,а одинаково низкое качество услуг и поддержки",,-1,,,,,
26,492384108816120000,1406228494,"@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама",,,0,,,,
