id,twitid,date,text,beeline,mts,megafon,tele2,rostelecom,komstar,skylink
6225,421232054697615360,1389264522,"@abogachev Ваше письмо сейчас рассматривается нашим специалистом. Ожидайте, пожалуйста, звонка. #билайн",0,,,,,,
6226,421232907772903424,1389264726,"@vovich76, здравствуйте! На данный момент впорос решен? Уточните, пожалуйста. #билайн",0,,,,,,
6227,421233924170211329,1389264968,@HeroOfCaldeum Вы всегда можете обращаться к нам при помощи социальных сетей. Готовы помочь в разрешении любой ситуации. #билайн,0,,,,,,
6228,421240849125482496,1389266619,"@pprikazchikov Для детальной проверки отправьте, пожалуйста, описание ситуации, ссылку на твит и Ваш № тел. на pomogite@beeline.ru. #билайн",0,,,,,,
6229,421243306152968192,1389267205,"@ah_Sukhanova Здравствуйте! Подскажите, пожалуйста, сейчас наблюдаются ограничения в работе мобильного интернета? #билайн",0,,,,,,
6230,421244065892425728,1389267386,"@VVind2033 Антон, здравствуйте! Уточните, пожалуйста, какой интернет имеете ввиду: проводной или мобильный? #билайн",0,,,,,,
6231,421245849612472320,1389267811,RT @moneymatika: «Легкий контроль» от «Билайн» стал еще легче http://t.co/ixP830UvhH,0,,,,,,
6232,421250734907064320,1389268976,"@f_marina78, здравствуйте! Пришлите, пожалуйста, номер модема, конт. тел. и ссылку на твит нам на pomogite@beeline.ru для проверки. #билайн",0,,,,,,
6233,421253516380733440,1389269639,"@darkalex672 Чтобы мы могли на ситуацию повлиять, нам требуется Ваш номер. Пожалуйста, отправьте его и ссылку на твит на pomogite@beeline.ru",0,,,,,,
6234,421256707390443521,1389270400,Вымпелком выплатит материнской Vimpelcom 21 млрд рублей дивидендов за 9 месяцев,0,,,,,,
6235,421258964748103680,1389270938,"@vito_corvalone Здравствуйте! подскажите, пожалуйста, Вы используете проводной или мобильный интернет? #билайн",0,,,,,,
6236,421265067770793984,1389272393,"@knardina Здравствуйте! Подскажите, пожалуйста, какой у Вас интернет: проводной или мобильный? Сейчас работает? #билайн",0,,,,,,
6237,421272346289119232,1389274128,"@adilinka1 Здравствуйте! Подскажите, пожалуйста, в связи с чем принято решение перейти в другую компанию? #билайн",0,,,,,,
6238,421272808253964290,1389274239,"@dmn_42 Если возникнут дополнительные вопросы, пожалуйста, обращайтесь! #билайн",0,,,,,,
6239,421276897973374976,1389275214,@Beeline_RUS почему медленная скорость на номере 89054356462?,0,,,,,,
6240,421280166015279105,1389275993,"@arcoolov Услуга позволяет бесплатно узнать код города,страны,правила набора или географическую принадлежность номера. #билайн",0,,,,,,
6241,421284527420370944,1389277033,"уважаемые абоненты, билайн объявляет о вводе в эксплуатацию единого номера для отписки от спама и нежелательных сообщений, приходящих с",0,,,,,,
6242,421303636266741760,1389281588,"""Ваша смс не доставлена. Мне в лом. БиЛайн""",-1,,,,,,
6243,421306115603705857,1389282180,В рамках акции Beeline Club абоненты обменяли на смартфоны сотни тысяч бонусных баллов http://t.co/57DdkVrjxb #uzb,0,,,,,,
6244,421329755850678272,1389287816,@Beeline_RUS Это станции метро),0,,,,,,
6245,421335503741280256,1389289186,"уже второй вечер твориться хрень с ""Билайном"", ни куда не могу дозвониться, сеть постоянно ""прыгает""",-1,,,,,,
6248,421510652973158400,1389330945,RT @beeline_uz: Веселой вам пятницы! :) http://t.co/3hdIT568qp,0,,,,,,
6249,421512420540956674,1389331367,"@pavel_kvo Мы сможем на это повлиять,зная Ваш номер.Пож-та,отправьте его,точный адрес,время сбоя и ссылку на твит на pomogite@beeline.ru.",0,,,,,,
6250,421514670814416898,1389331903,@iPashamoscow =&gt;Для исправления работы связи потребуется Ваш номер и ссылка на твит.Данные Вы можете отправить на pomogite@beeline.ru.,0,,,,,,
6251,421516062048276480,1389332235,"@pprikazchikov Здравствуйте! Подскажите, пожалуйста, мы вчера просили отправить нам письмо? Вы отправляли? #билайн",0,,,,,,
6252,421529613198974976,1389335466,"Тем временем у Билайн сменился слоган. Слоган стал унылым, скучным, снобским :(",-1,,,,,,
6253,421531040063033344,1389335806,"@pavlovalex Здравствуйте! Уточните, пожалуйста, ограничения возникли со связью или с интернетом? #билайн",0,,,,,,
6254,421533836917612545,1389336473,RT @UzbNews: «Билайн-Ўзбекистон» раҳбари ўзгарди http://t.co/LN8hfHe1DX #uzb,0,,,,,,
6255,421537881086504960,1389337437,"RT @_Beeline_kz: @AzatBakhamov При необходимости, пожалуйста, обращайтесь всегда рады Вам помочь! (Денис С.)",0,,,,,,
