term,tone
!.,3.93
)))),14.02
)))))),13.61
))))))),12.65
))))),12.59
:)))),12.21
))),12.06
)))))))),11.98
))))))))),11.71
)))))))))),11.33
:)),11.24
)))))))))))))),11.14
:))),11.06
)))))))))))),10.91
))))))))))),10.89
:*,10.84
:-))),10.83
:))))),10.82
)))))))))))))))),10.54
))))))))))))),10.53
:-),10.52
))))))))))))))),10.07
:)))))),9.66
:-)))),9.48
))))))))))))))))),9.3
))))))))))))))))))))))),9.2
)))))))))))))))))),9.12
=)))),8.9
:))))))),8.87
!)),8.82
:)))))))))),8.77
:))))))))))))))))))))),8.75
)))))))))))))))))))),8.74
))))))))))))))))))),8.72
почет,8.55
=),8.53
#Металлист,8.52
!))),8.48
:))))))))))))))))),8.47
:-))))),8.45
))))))))))))))))))))))))))),8.42
)))))))))))))))))))))))),8.41
:)))))))),8.38
. ))),8.3
""""")))))))))))))",8.28
остановицца,8.28
Юляяяя,8.26
спасибоооо,8.26
:))))))))),8.25
jamala,8.23
обережный,8.23
зы,8.22
)))))))))))))))))))))),8.21
:-)))))),8.21
?))))),8.17
))))))))))))))))))))))))),8.15
)))))))))))))))))))))))))))),8.14
)),8.14
абажай,8.13
нипадохнуть,8.13
))))))))))))))))))))),8.11
хендалл,8.11
!!!!!!!!!!!!!,8.08
:-))))))),8.06
=)),7.9
окончательный,7.9
)))))))))))))))))))))))))),7.87
уссаться,7.83
:-) :-) :-),7.82
дидысасывать,7.82
.))),7.79
.)))),7.79
!)))),7.75
шериам,7.75
напалм,7.72
:))))))))))),7.68
;)),7.67
низзя,7.65
ссортесь,7.62
демонатаж,7.61
🍁,7.6
:))))))))))))),7.6
❣️,7.6
:*),7.59
:):):):))))),7.57
:-)),7.57
энн,7.57
джоанн,7.56
stylinson,7.56
larry,7.56
70К,7.56
дурилка,7.55
чесслово,7.54
гавайи,7.53
ахахахахахахахахах,7.52
""""" )))))",7.5
:):)):))),7.49
гульжан,7.49
:-)))))))),7.48
пересажать,7.47
обнимателько,7.46
нежненько,7.46
:):):):)))):))))),7.43
жжот,7.42
перелогиниться,7.42
повинная,7.42
ящитать,7.41
картонный,7.41
:)) :)),7.41
"""""))))))))))))))))))))))",7.4
федерализовать,7.38
дудка,7.38
;))),7.37
фредди,7.35
укробабуин,7.33
