term,tone
"❤,",6.61
"=),",6.37
":))),",6.29
":)),",6.17
":),",5.71
"!),",5.66
")),",5.22
"))))))),",5.19
";))),",5.19
"))),",5.13
"хахах,",5.12
")))))),",5.07
"😍,",5.06
")))),",5.01
"иммигрант,",4.82
"💙,",4.82
"DDD,",4.79
"☺,",4.76
"ахаххах,",4.76
";),",4.72
"❤️❤️❤️,",4.63
"#ПоздравляюТвиттерскогоСЗимой,",4.63
"^_^,",4.61
"DD,",4.59
"😘,",4.59
";)),",4.56
"❤❤❤,",4.56
"божественно,",4.56
"=)),",4.48
"круглый,",4.48
"💜,",4.48
"xD,",4.46
";-),",4.43
"😻,",4.41
":***,",4.41
"')),",4.41
"винный,",4.41
"клаустрофобия,",4.41
"🎁,",4.41
":*),",4.41
"ураааа,",4.41
"вахахахахах,",4.41
"❤️,",4.34
"♡,",4.32
"__*,",4.32
"💞,",4.32
"'))),",4.32
":*,",4.29
"😊,",4.29
":)))),",4.28
"смска,",4.27
"))))),",4.27
"#moscow,",4.24
"💖,",4.24
"))))))))),",4.24
"надежный,",4.24
"B,",4.24
"ахахахахахах,",4.24
"пхах,",4.24
"♥,",4.24
"ахха,",4.24
"спасибооо,",4.24
":-),",4.22
"33,",4.2
"😋,",4.14
"💗,",4.14
"😀,",4.14
"Funny,",4.14
"аххах,",4.14
"D,",4.12
"333,",4.11
"<,",4.09
"всеееееееееееееееееееееееееееееееееееееееееее,",4.04
"🌟,",4.04
"милаша,",4.04
"приставлять,",4.04
"!)),",4.04
"ахаххахах,",4.04
"рулить,",4.04
"💋,",3.94
"♥♥♥,",3.94
"аххаах,",3.94
"спасиииибо,",3.94
"ахах,",3.94
"офигенный,",3.94
":))))),",3.94
"нескучный,",3.94
"💛,",3.94
"спасибоо,",3.94
"💚,",3.94
"ооооо,",3.94
"пупсик,",3.94
"=*,",3.94
"DDDD,",3.94
"дадад,",3.88
"мужественный,",3.88
"зайчик,",3.88
"?)),",3.82
"мамуля,",3.82
"home,",3.82
"#общественныйконтроль),",3.82
"#fclmonline,",3.82
"пасиб,",3.82
"videos,",3.82
"🎄,",3.82
"))) ,",3.82
"XDDD,",3.82
"_____*,",3.82
"#СовФед*е,",3.82
"утюг,",3.79
"☺️,",3.77
"ахи,",3.76
"Lady,",3.76
"Video,",3.76
"хахахах,",3.76
"Gaga,",3.76
"😚,",3.76
"ахахах,",3.73
"хД,",3.72
"✌,",3.7
"элвис,",3.7
"#ВзаимныйФолловинг,",3.7
")))))))))),",3.7
"удачно,",3.7
")*,",3.7
"😇,",3.7
"ахаах,",3.7
"милашка,",3.63
"ахахахха,",3.63
"афигенный,",3.63
"миленький,",3.63
"приятно,",3.62
"'),",3.61
"🎉,",3.59
"пати,",3.56
"постер,",3.56
"шанхай,",3.56
"Official,",3.56
"ахахахахах,",3.56
"радужный,",3.56
":-)),",3.56
"квн,",3.56
"бодрый,",3.56
"хD,",3.56
"папин,",3.56
"(:,",3.56
"🎅,",3.56
"освещение,",3.56
"ржачный,",3.56
"ограждение,",3.56
"ахахаах,",3.56
"=))),",3.56
"::-),",3.56
"макияж,",3.51
"спасибо,",3.51
"красава,",3.48
"йоу,",3.48
"Ру,",3.48
"#ПризнайсяТвиттерскомуВЛюбви,",3.46
"^,",3.45
"ихих,",3.41
"Happy,",3.41
"аха,",3.41
"#ТопливныйРежим,",3.41
"открытие,",3.41
"плен,",3.41
"урааааа,",3.41
"спока,",3.41
"гравитация,",3.41
"нееее,",3.41
"прелестный,",3.41
"любимая,",3.41
"👑,",3.41
"великолепный,",3.41
"%),",3.41
"шашлык,",3.41
"сверхи,",3.41
"аххахахахах,",3.41
"пресли,",3.41
"улыбнуть,",3.41
"завораживать,",3.41
"братишка,",3.41
"приятность,",3.41
"спасиибо,",3.41
"локи,",3.41
"честной,",3.41
"трц,",3.41
"#russia,",3.41
"катюша,",3.41
"хааха,",3.41
"краснокожий,",3.41
"👼,",3.41
":)))))),",3.41
"xDD,",3.41
"ути,",3.41
"!))),",3.41
"^^,",3.37
"ахахха,",3.37
"урааа,",3.32
"умничек,",3.32
")))))))),",3.32
"дружный,",3.32
"тибя,",3.32
"съезжать,",3.32
"_*,",3.3
"ура,",3.3
"co,",3.28
"отрезок,",3.24
"мур,",3.24
"оооочень,",3.24
"=) ,",3.24
