#X  # 1                # 2               #3                 #4                 #5                 #6
0.1 0.438899650333696  0.429850627972919 0.4490054742358384 0.4487896414685233 0.4530709601999066 0.474336124854632
0.2 0.465278728439003  0.457984511676185 0.4555625504999182 0.4563563604026031 0.4638292484262287 0.499436223830447
0.3 0.467119148547002  0.458966347610939 0.4666673782514979 0.4724293865568103 0.4696742957746478 0.504386348559313
0.4 0.462181388968641  0.465137201979307 0.4804528483680597 0.4793602996001872 0.4781283075705393 0.513743031739768
0.5 0.465088748276430  0.473316654736167 0.4705940947095003 0.4843653211576906 0.4839345165085483 0.513504420769633
0.6 0.459858999409497  0.471507577758862 0.4800220425602585 0.4817324099166917 0.4758435647935877 0.514888143176733
0.7 0.455931509249044  0.464878918093239 0.4778558292757076 0.4749387431203457 0.4742364168295526 0.515000000000000
0.8 0.456813288873239  0.465128877737226 0.4710569486758846 0.4720991897136593 0.4703000967691821 0.506868146251202
0.9 0.454848790262462  0.464026606468466 0.4691287923255725 0.4701511616758812 0.4719340215398077 0.505448678353903
1.0 0.455373231789198  0.473683248701279 0.4703710593546146 0.4713225687591924 0.4699451051301381 0.502583754624375
